s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.13003E+002, 2.61794E+001, 2.85007E+001, 4.00170E+001, 3.06629E+001, 2.50389E+001, 2.60051E+001, 2.81692E+001, 1.80001E-002, 2.04742E-001, 3.67988E+002
 1.14005E+002, 2.61813E+001, 2.85087E+001, 4.01193E+001, 3.06881E+001, 2.50416E+001, 2.58551E+001, 2.82359E+001, 1.79989E-002, 2.04676E-001, 3.68176E+002
 1.15006E+002, 2.61742E+001, 2.85608E+001, 4.05582E+001, 3.04785E+001, 2.50427E+001, 2.55418E+001, 2.80277E+001, 1.80002E-002, 2.04657E-001, 3.68350E+002
 1.16008E+002, 2.61978E+001, 2.85930E+001, 4.10223E+001, 3.05402E+001, 2.50428E+001, 2.56880E+001, 2.77070E+001, 1.80009E-002, 2.04670E-001, 3.68681E+002
 1.17010E+002, 2.62429E+001, 2.86437E+001, 4.10519E+001, 3.04812E+001, 2.50418E+001, 2.56093E+001, 2.76671E+001, 1.79993E-002, 2.04671E-001, 3.69162E+002
 1.18012E+002, 2.62970E+001, 2.88006E+001, 4.05447E+001, 3.06375E+001, 2.50399E+001, 2.53234E+001, 2.78645E+001, 1.79994E-002, 2.04622E-001, 3.69644E+002
 1.19014E+002, 2.63392E+001, 2.90723E+001, 4.05316E+001, 3.02312E+001, 2.50381E+001, 2.54954E+001, 2.80300E+001, 1.80000E-002, 2.04594E-001, 3.70305E+002
 1.20001E+002, 2.63352E+001, 2.92137E+001, 3.94182E+001, 3.05066E+001, 2.50367E+001, 2.55668E+001, 2.78985E+001, 1.80000E-002, 2.04590E-001, 3.70995E+002
 1.21003E+002, 2.62013E+001, 2.89377E+001, 3.99122E+001, 3.02689E+001, 2.50357E+001, 2.53930E+001, 2.79822E+001, 1.79999E-002, 2.04540E-001, 3.71565E+002
 1.22005E+002, 2.61403E+001, 2.90498E+001, 3.99119E+001, 3.02255E+001, 2.50353E+001, 2.53230E+001, 2.78232E+001, 1.79999E-002, 2.04502E-001, 3.72090E+002
 1.23006E+002, 2.60977E+001, 2.86519E+001, 3.95345E+001, 3.05536E+001, 2.50346E+001, 2.54160E+001, 2.76371E+001, 1.79999E-002, 2.04465E-001, 3.72534E+002
 1.24008E+002, 2.60803E+001, 2.85807E+001, 3.98647E+001, 3.05194E+001, 2.50340E+001, 2.54352E+001, 2.77612E+001, 1.80019E-002, 2.04426E-001, 3.72913E+002
 1.25010E+002, 2.60673E+001, 2.88193E+001, 4.01318E+001, 3.04155E+001, 2.50334E+001, 2.55060E+001, 2.78287E+001, 1.80003E-002, 2.04521E-001, 3.73193E+002
 1.26012E+002, 2.60992E+001, 2.88570E+001, 4.03491E+001, 3.06203E+001, 2.50329E+001, 2.55184E+001, 2.79250E+001, 1.79991E-002, 2.04462E-001, 3.73592E+002
 1.27014E+002, 2.61637E+001, 2.89248E+001, 4.04874E+001, 3.08554E+001, 2.50321E+001, 2.55688E+001, 2.81283E+001, 1.80015E-002, 2.04381E-001, 3.74151E+002
 1.28001E+002, 2.62034E+001, 2.88034E+001, 4.00692E+001, 3.04040E+001, 2.50311E+001, 2.57145E+001, 2.76402E+001, 1.79997E-002, 2.04401E-001, 3.74702E+002
 1.29003E+002, 2.62490E+001, 2.85590E+001, 4.05841E+001, 3.01170E+001, 2.50298E+001, 2.56726E+001, 2.75468E+001, 1.80002E-002, 2.04487E-001, 3.75242E+002
 1.30005E+002, 2.62602E+001, 2.87238E+001, 4.04803E+001, 2.99082E+001, 2.50283E+001, 2.54682E+001, 2.70315E+001, 1.79986E-002, 2.04479E-001, 3.75912E+002
 1.31007E+002, 2.62269E+001, 2.91837E+001, 3.97897E+001, 3.05117E+001, 2.50272E+001, 2.60711E+001, 2.84740E+001, 1.79997E-002, 2.04389E-001, 3.76523E+002
 1.32008E+002, 2.61589E+001, 2.91713E+001, 3.95854E+001, 3.06082E+001, 2.50263E+001, 2.61515E+001, 2.83836E+001, 1.79992E-002, 2.04372E-001, 3.77006E+002
 1.33010E+002, 2.60875E+001, 2.91662E+001, 3.94846E+001, 3.05954E+001, 2.50257E+001, 2.54213E+001, 2.81883E+001, 1.80001E-002, 2.04353E-001, 3.77491E+002
 1.34012E+002, 2.60822E+001, 2.92875E+001, 3.99760E+001, 3.06692E+001, 2.50256E+001, 2.56644E+001, 2.79014E+001, 1.80015E-002, 2.04389E-001, 3.77946E+002
 1.35014E+002, 2.61016E+001, 2.89820E+001, 4.02419E+001, 3.05927E+001, 2.50258E+001, 2.70020E+001, 2.78707E+001, 1.80010E-002, 2.04375E-001, 3.78302E+002
 1.36001E+002, 2.60952E+001, 2.87512E+001, 4.00780E+001, 3.06423E+001, 2.50265E+001, 2.71839E+001, 2.78157E+001, 1.79979E-002, 2.04370E-001, 3.78604E+002
