s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.10006E+002, 2.53901E+001, 2.64914E+001, 3.99681E+001, 2.72820E+001, 2.50166E+001, 2.51173E+001, 2.68458E+001, 1.80006E-002, 2.04905E-001, 2.23441E+002
 1.11006E+002, 2.53928E+001, 2.65261E+001, 4.03903E+001, 2.73921E+001, 2.50167E+001, 2.51226E+001, 2.66879E+001, 1.79993E-002, 2.04906E-001, 2.24061E+002
 1.12006E+002, 2.53961E+001, 2.65544E+001, 4.09068E+001, 2.70050E+001, 2.50168E+001, 2.51590E+001, 2.66124E+001, 1.79954E-002, 2.04908E-001, 2.24651E+002
 1.13006E+002, 2.53989E+001, 2.65505E+001, 4.13147E+001, 2.72412E+001, 2.50169E+001, 2.51866E+001, 2.67983E+001, 1.79999E-002, 2.04897E-001, 2.25281E+002
 1.14007E+002, 2.54011E+001, 2.65356E+001, 4.09931E+001, 2.71879E+001, 2.50170E+001, 2.51767E+001, 2.66948E+001, 1.80022E-002, 2.04867E-001, 2.25841E+002
 1.15007E+002, 2.54035E+001, 2.65276E+001, 4.09822E+001, 2.76087E+001, 2.50171E+001, 2.51869E+001, 2.67997E+001, 1.80027E-002, 2.04842E-001, 2.26313E+002
 1.16007E+002, 2.54067E+001, 2.65181E+001, 4.23555E+001, 2.76806E+001, 2.50171E+001, 2.52351E+001, 2.69142E+001, 1.79996E-002, 2.04833E-001, 2.26802E+002
 1.17000E+002, 2.54106E+001, 2.65053E+001, 4.26214E+001, 2.79436E+001, 2.50172E+001, 2.52289E+001, 2.65595E+001, 1.79962E-002, 2.04806E-001, 2.27248E+002
 1.18000E+002, 2.54143E+001, 2.65015E+001, 4.21660E+001, 2.76341E+001, 2.50170E+001, 2.51648E+001, 2.65583E+001, 1.79988E-002, 2.04761E-001, 2.27611E+002
 1.19002E+002, 2.54161E+001, 2.64929E+001, 4.21104E+001, 2.78154E+001, 2.50168E+001, 2.51259E+001, 2.66214E+001, 1.80023E-002, 2.04742E-001, 2.27954E+002
 1.20002E+002, 2.54162E+001, 2.64777E+001, 4.24212E+001, 2.74888E+001, 2.50166E+001, 2.51376E+001, 2.66474E+001, 1.80019E-002, 2.04755E-001, 2.28326E+002
 1.21001E+002, 2.54153E+001, 2.64682E+001, 4.19975E+001, 2.76773E+001, 2.50165E+001, 2.51825E+001, 2.65063E+001, 1.80027E-002, 2.04753E-001, 2.28752E+002
 1.22007E+002, 2.54160E+001, 2.64766E+001, 4.25048E+001, 2.79970E+001, 2.50164E+001, 2.52209E+001, 2.67772E+001, 1.79997E-002, 2.04697E-001, 2.29103E+002
 1.23006E+002, 2.54185E+001, 2.65154E+001, 4.12989E+001, 2.76956E+001, 2.50163E+001, 2.52744E+001, 2.67776E+001, 1.79970E-002, 2.04596E-001, 2.29531E+002
 1.24005E+002, 2.54212E+001, 2.65327E+001, 4.20412E+001, 2.75857E+001, 2.50163E+001, 2.54603E+001, 2.67803E+001, 1.79980E-002, 2.04523E-001, 2.29926E+002
 1.25005E+002, 2.54227E+001, 2.65362E+001, 4.17742E+001, 2.73397E+001, 2.50163E+001, 2.53681E+001, 2.68262E+001, 1.80006E-002, 2.04494E-001, 2.30359E+002
 1.26004E+002, 2.54247E+001, 2.65366E+001, 4.18443E+001, 2.76468E+001, 2.50161E+001, 2.51679E+001, 2.67710E+001, 1.80036E-002, 2.04467E-001, 2.30742E+002
 1.27003E+002, 2.54279E+001, 2.65237E+001, 4.29296E+001, 2.75500E+001, 2.50160E+001, 2.51697E+001, 2.65689E+001, 1.79996E-002, 2.04437E-001, 2.31123E+002
 1.28002E+002, 2.54320E+001, 2.65006E+001, 4.16964E+001, 2.78729E+001, 2.50159E+001, 2.51913E+001, 2.63951E+001, 1.79954E-002, 2.04431E-001, 2.31491E+002
 1.29002E+002, 2.54356E+001, 2.64893E+001, 4.18252E+001, 2.78297E+001, 2.50159E+001, 2.52347E+001, 2.66768E+001, 1.79997E-002, 2.04454E-001, 2.31881E+002
 1.30001E+002, 2.54384E+001, 2.65007E+001, 4.25902E+001, 2.75377E+001, 2.50160E+001, 2.52668E+001, 2.70275E+001, 1.80043E-002, 2.04486E-001, 2.32267E+002
 1.31000E+002, 2.54407E+001, 2.65399E+001, 4.25927E+001, 2.77979E+001, 2.50160E+001, 2.52464E+001, 2.69065E+001, 1.80010E-002, 2.04507E-001, 2.32605E+002
 1.32006E+002, 2.54428E+001, 2.65504E+001, 4.25678E+001, 2.76432E+001, 2.50160E+001, 2.51648E+001, 2.66393E+001, 1.79966E-002, 2.04513E-001, 2.33073E+002
 1.33006E+002, 2.54442E+001, 2.65349E+001, 4.23027E+001, 2.76155E+001, 2.50161E+001, 2.51137E+001, 2.63968E+001, 1.79984E-002, 2.04517E-001, 2.33572E+002
 1.34005E+002, 2.54443E+001, 2.65376E+001, 4.26960E+001, 2.79899E+001, 2.50163E+001, 2.51204E+001, 2.68027E+001, 1.79999E-002, 2.04531E-001, 2.33990E+002
 1.35004E+002, 2.54429E+001, 2.65602E+001, 4.29879E+001, 2.82060E+001, 2.50165E+001, 2.51642E+001, 2.67362E+001, 1.80038E-002, 2.04545E-001, 2.34471E+002
 1.36003E+002, 2.54419E+001, 2.65725E+001, 4.12989E+001, 2.78961E+001, 2.50167E+001, 2.51939E+001, 2.66196E+001, 1.80006E-002, 2.04547E-001, 2.35001E+002
