s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 9.10010E+001, 2.52595E+001, 2.58247E+001, 3.60615E+001, 2.65840E+001, 2.50116E+001, 2.50649E+001, 2.56272E+001, 1.80015E-002, 2.05452E-001, 1.42400E+002
 9.20017E+001, 2.52623E+001, 2.58256E+001, 3.60622E+001, 2.65796E+001, 2.50116E+001, 2.50751E+001, 2.56369E+001, 1.80015E-002, 2.05411E-001, 1.42909E+002
 9.30024E+001, 2.52648E+001, 2.58247E+001, 3.60545E+001, 2.65795E+001, 2.50116E+001, 2.50882E+001, 2.56530E+001, 1.80015E-002, 2.05367E-001, 1.43412E+002
 9.40031E+001, 2.52669E+001, 2.58245E+001, 3.60396E+001, 2.65844E+001, 2.50116E+001, 2.51003E+001, 2.56731E+001, 1.80015E-002, 2.05321E-001, 1.43911E+002
 9.50038E+001, 2.52685E+001, 2.58261E+001, 3.60118E+001, 2.65916E+001, 2.50116E+001, 2.51078E+001, 2.56970E+001, 1.80015E-002, 2.05275E-001, 1.44407E+002
 9.60006E+001, 2.52699E+001, 2.58279E+001, 3.59709E+001, 2.65982E+001, 2.50115E+001, 2.51093E+001, 2.57108E+001, 1.80015E-002, 2.05231E-001, 1.44900E+002
 9.70013E+001, 2.52713E+001, 2.58287E+001, 3.59203E+001, 2.66002E+001, 2.50115E+001, 2.51071E+001, 2.57046E+001, 1.80015E-002, 2.05190E-001, 1.45387E+002
 9.80019E+001, 2.52726E+001, 2.58291E+001, 3.58698E+001, 2.65947E+001, 2.50115E+001, 2.51047E+001, 2.56859E+001, 1.80015E-002, 2.05156E-001, 1.45864E+002
 9.90026E+001, 2.52740E+001, 2.58294E+001, 3.58143E+001, 2.65797E+001, 2.50114E+001, 2.51056E+001, 2.56765E+001, 1.80015E-002, 2.05126E-001, 1.46329E+002
 1.00003E+002, 2.52753E+001, 2.58297E+001, 3.55968E+001, 2.65492E+001, 2.50114E+001, 2.51122E+001, 2.56822E+001, 1.80015E-002, 2.05102E-001, 1.46781E+002
